arquivo,mi,rank_mi
causalpy/tests/test_integration_pymc_examples.py,0.0,C
causalpy/tests/test_reporting.py,0.0,C
causalpy/tests/test_maketables_plugin.py,2.0454,C
causalpy/tests/test_staggered_did.py,5.1308,C
causalpy/tests/test_piecewise_its.py,9.6215,B
causalpy/tests/test_pymc_models.py,12.8675,B
causalpy/tests/test_placebo_in_time.py,14.2722,B
causalpy/experiments/staggered_did.py,16.8489,B
causalpy/tests/test_three_period_its.py,16.8494,B
causalpy/pymc_models.py,18.3273,B
causalpy/experiments/interrupted_time_series.py,20.1853,A
causalpy/reporting.py,20.5013,A
causalpy/tests/test_its_effect_summary.py,24.9639,A
causalpy/tests/test_panel_regression.py,29.0536,A
causalpy/tests/test_input_validation.py,33.2145,A
causalpy/tests/test_method_specific_checks.py,33.3619,A
causalpy/tests/test_utils.py,34.4442,A
causalpy/experiments/panel_regression.py,36.0198,A
causalpy/tests/test_cross_cutting_checks.py,37.0385,A
causalpy/experiments/synthetic_control.py,37.6115,A
causalpy/checks/placebo_in_time.py,38.1837,A
causalpy/tests/test_sdid_helpers.py,38.983,A
causalpy/experiments/inverse_propensity_weighting.py,41.1557,A
causalpy/tests/test_outcome_falsification.py,42.0088,A
causalpy/tests/test_timeseries_model_coverage.py,42.7518,A
causalpy/experiments/piecewise_its.py,42.9665,A
causalpy/tests/test_pipeline.py,46.6163,A
causalpy/utils.py,46.7573,A
causalpy/variable_selection_priors.py,46.8069,A
causalpy/tests/test_sensitivity_container.py,47.4005,A
causalpy/tests/test_instrumental_variable.py,47.7115,A
causalpy/experiments/regression_discontinuity.py,48.5136,A
causalpy/pipeline.py,49.5039,A
causalpy/checks/base.py,49.5913,A
causalpy/data/simulate_data.py,49.6391,A
causalpy/tests/test_ipw_get_ate.py,49.6406,A
causalpy/maketables_adapters.py,50.8365,A
causalpy/tests/test_notebook_validation.py,50.8368,A
causalpy/experiments/diff_in_diff.py,50.8644,A
causalpy/tests/test_generate_report.py,50.8751,A
causalpy/experiments/synthetic_difference_in_differences.py,51.7877,A
causalpy/tests/test_hdi_prob_wiring.py,51.8453,A
causalpy/experiments/base.py,52.0782,A
causalpy/transforms.py,53.6666,A
causalpy/experiments/regression_kink.py,53.9667,A
causalpy/tests/test_plot_show_parameter.py,54.6134,A
causalpy/tests/test_model_adapter.py,54.6436,A
causalpy/tests/test_check_architecture_inventory.py,55.3554,A
causalpy/tests/test_integration_its_new_timeseries.py,56.6172,A
causalpy/experiments/model_adapter.py,57.6308,A
causalpy/tests/test_default_models.py,57.923,A
causalpy/experiments/instrumental_variable.py,58.7485,A
causalpy/steps/sensitivity.py,59.4072,A
causalpy/tests/test_integration_skl_examples.py,60.3461,A
causalpy/experiments/prepostnegd.py,61.0089,A
causalpy/checks/outcome_falsification.py,61.6444,A
causalpy/date_utils.py,63.5841,A
causalpy/tests/conftest.py,63.6921,A
causalpy/skl_models.py,64.4872,A
causalpy/tests/test_variable_selection_priors.py,65.3502,A
causalpy/tests/test_date_utils.py,65.4522,A
causalpy/tests/test_validate_docstring_lists.py,66.5557,A
causalpy/tests/test_model_adapter_normalization.py,67.0111,A
causalpy/tests/test_public_plot_signatures.py,67.7615,A
causalpy/steps/estimate_effect.py,69.4157,A
causalpy/tests/test_misc.py,69.8554,A
causalpy/tests/test_hdi_prob_defaults.py,70.0332,A
causalpy/tests/test_pymc_models_compat.py,71.4245,A
causalpy/checks/placebo_in_space.py,71.4867,A
causalpy/tests/test_check_public_exports.py,71.5958,A
causalpy/steps/report.py,72.6269,A
causalpy/checks/prior_sensitivity.py,73.0245,A
causalpy/checks/leave_one_out.py,73.8693,A
causalpy/checks/mccrary.py,74.4259,A
causalpy/tests/test_synthetic_data.py,74.5122,A
causalpy/checks/bandwidth.py,74.6066,A
causalpy/tests/test_ipw_extreme_ps.py,77.3479,A
causalpy/plot_utils.py,79.5387,A
causalpy/tests/test_plot_utils.py,80.3783,A
causalpy/checks/convex_hull.py,82.8909,A
causalpy/data/datasets.py,83.1091,A
causalpy/checks/pre_treatment_placebo.py,83.2307,A
causalpy/checks/persistence.py,84.3801,A
causalpy/tests/test_data_loading.py,86.4576,A
causalpy/tests/test_sklearn_clone_fit_intercept.py,92.0548,A
causalpy/constants.py,100.0,A
causalpy/custom_exceptions.py,100.0,A
causalpy/version.py,100.0,A
causalpy/__init__.py,100.0,A
causalpy/checks/__init__.py,100.0,A
causalpy/data/__init__.py,100.0,A
causalpy/experiments/__init__.py,100.0,A
causalpy/skills/__init__.py,100.0,A
causalpy/steps/__init__.py,100.0,A
causalpy/tests/test_base_experiment_abc.py,100.0,A
causalpy/tests/test_custom_exceptions.py,100.0,A
causalpy/tests/test_deprecated_design_aliases.py,100.0,A
causalpy/tests/test_model_experiment_compatability.py,100.0,A
causalpy/tests/__init__.py,100.0,A
